iter	RMSE
427	0.2772301079
428	0.2772277251
429	0.2772277251
430	0.2771590334
431	0.2771564056
432	0.2770481222
433	0.2769416497
434	0.2768043711
435	0.2768023215
436	0.2768023215
437	0.2768023215
438	0.2768023215
439	0.2765694784
440	0.2765685395
441	0.2765685395
442	0.2765423761
443	0.2765423761
444	0.2765362888
445	0.2765349267
446	0.2765349267
447	0.2765261447
448	0.2765261447
449	0.2765244913
450	0.2765244913
451	0.2764950712
452	0.2764946358
453	0.2764946358
454	0.2764944869
455	0.2764944869
456	0.2764912749
457	0.2764808797
458	0.2764805687
459	0.2764805687
460	0.27645419
461	0.2764525176
462	0.2759495593
463	0.2759486509
464	0.2759486509
465	0.275941647
466	0.275941647
467	0.275941647
468	0.2759303521
469	0.2759303521
470	0.2759303521
471	0.275909268
472	0.2759051832
473	0.2759051832
474	0.2759051832
475	0.2759051832
476	0.2754762477
477	0.2754726897
478	0.2754726148
479	0.2754726148
480	0.275471011
481	0.2754363307
482	0.2754363307
483	0.2753555745
484	0.2753555745
485	0.2753512886
486	0.2753491616
487	0.2753491616
488	0.2741896256
489	0.2741896256
490	0.2741755922
491	0.2741654279
492	0.2741654279
493	0.2741654279
494	0.2741071729
495	0.274103641
496	0.274103641
497	0.274076708
498	0.2740461676
499	0.2739580492
500	0.2739562413
501	0.2739127365
502	0.2738587678
503	0.2738587678
504	0.2738517595
505	0.2738512181
506	0.2738512181
507	0.2736344188
508	0.2736344188
509	0.2736201715
510	0.2736176178
511	0.2736149239
512	0.2736141893
513	0.2736141893
514	0.2736141893
515	0.2736141893
516	0.2736120037
517	0.2736120037
518	0.2736042005
519	0.2736000253
520	0.2735970746
521	0.2735947898
522	0.2735774723
523	0.2735774723
524	0.2733009217
525	0.2733009217
526	0.2733009217
527	0.2733009217
528	0.2733009217
529	0.2733009217
530	0.2732822155
531	0.2732822155
532	0.2732803895
533	0.2732781931
534	0.2732564769
535	0.2732549133
536	0.2728319374
537	0.2728319374
538	0.2728204609
539	0.2728093432
540	0.2728093432
541	0.2727972241
542	0.2727083188
543	0.2727083188
544	0.2723581662
545	0.2723581662
546	0.2723561899
547	0.2723041692
548	0.2723041692
549	0.2722935167
550	0.2722915611
551	0.2722468227
552	0.2722309611
553	0.2722309611
554	0.2722281353
555	0.2722281353
556	0.2722281353
557	0.2722281353
558	0.2722269709
559	0.2722269709
560	0.2722245808
561	0.2722245808
562	0.2721111861
563	0.2721111861
564	0.271942014
565	0.271942014
566	0.2719382656
567	0.2718443133
568	0.2718443133
569	0.2718438924
570	0.2718438924
571	0.2718375539
572	0.2718375539
573	0.2716530517
574	0.2716328731
575	0.2716312465
576	0.2715860599
577	0.2715860599
578	0.2715524871
579	0.2715087619
580	0.2714865151
581	0.2713599392
582	0.2707739543
583	0.2707739543
584	0.2707647324
585	0.2707647324
586	0.2707594853
587	0.2707594853
588	0.2707594853
589	0.2707594853
590	0.2707594853
591	0.2707137788
592	0.2707137788
593	0.2707137788
594	0.2707070493
595	0.2706972244
596	0.2706972244
597	0.2706972244
598	0.2706960527
599	0.2706960527
600	0.2706960527
601	0.2706960527
602	0.2706960527
603	0.2706920735
604	0.2706471143
605	0.2706471143
606	0.2706464439
607	0.2706464439
608	0.2706448407
609	0.2706409823
610	0.2705711243
611	0.2705695773
612	0.2704963283
613	0.2704963283
614	0.2703420504
615	0.2703358472
616	0.2703345911
617	0.2702785965
618	0.2702785965
619	0.2702785965
620	0.2702773541
621	0.2702770668
622	0.2702753116
623	0.2702753116
624	0.2702752688
625	0.2701869739
626	0.2701694684
627	0.2701450062
628	0.270143326
629	0.2701415576
630	0.2701415371
631	0.2701225066
632	0.2701225066
633	0.2701183574
634	0.2701117915
635	0.2701117915
636	0.2701117915
637	0.2701098922
638	0.2701098922
639	0.2701098922
640	0.2701081939
641	0.2701033307
642	0.2701033307
643	0.2701010488
644	0.2701003161
645	0.2700881854
646	0.2700869075
647	0.2700869075
648	0.2700869075
649	0.2700858998
650	0.270085566
651	0.2700704878
652	0.2700702417
653	0.2700702417
654	0.2700702417
655	0.2700702417
656	0.2700661788
657	0.2700661788
658	0.2700649705
659	0.2700625588
660	0.2700607652
661	0.2700607652
662	0.2700607652
663	0.2699980863
664	0.2699980863
665	0.2699980863
666	0.2699980863
667	0.2699976297
668	0.2699778516
669	0.2699778516
670	0.269977094
671	0.2699054651
672	0.2699054651
673	0.2698634165
674	0.2698634165
675	0.2698602044
676	0.2698531731
677	0.2698531731
678	0.2698531731
679	0.2698531731
680	0.2698531731
681	0.2698469761
682	0.2698469761
683	0.2698469761
684	0.2698450329
685	0.2698449625
686	0.2698441334
687	0.2698441334
688	0.2698441334
689	0.269842953
690	0.2698256889
691	0.2697355616
692	0.2697297618
693	0.2697295777
694	0.2697283929
695	0.2694888776
696	0.2693477726
697	0.2693412474
698	0.2693412474
699	0.2693412474
700	0.2693220764
701	0.2693220764
702	0.2693185818
703	0.2693185818
704	0.2693185818
705	0.2693175113
706	0.2693175113
707	0.2693175113
708	0.2692680057
709	0.2692591021
710	0.2692537079
711	0.2692537079
712	0.2692537079
713	0.2692537079
714	0.2692537079
715	0.2692537079
716	0.2692525411
717	0.2692515126
718	0.2691775955
719	0.2691772053
720	0.2691741192
721	0.2691075897
722	0.2691064362
723	0.2691059428
724	0.2691059428
725	0.2691059428
726	0.269105281
727	0.2690657005
728	0.2690640904
729	0.2690640904
730	0.2690640904
731	0.2690568879
732	0.2690448547
733	0.2690437566
734	0.2690296199
735	0.2688936501
736	0.2688925914
737	0.2688925914
738	0.2688860211
739	0.2688860211
740	0.2688860211
741	0.2688860211
742	0.2688651185
743	0.2688536044
744	0.2688536044
745	0.268848886
746	0.268848886
747	0.2688292309
748	0.2688243963
749	0.2688214426
750	0.2688214426
751	0.2688214426
752	0.2685334827
753	0.2685223885
754	0.268424693
755	0.2684232936
756	0.2682918079
757	0.2682918079
758	0.2682908577
759	0.268286228
760	0.2682859955
761	0.2682847112
762	0.26826236
763	0.2682577049
764	0.2682575862
765	0.2682575862
766	0.2682575862
767	0.2682190808
768	0.2682190772
769	0.2682053532
770	0.2682053532
771	0.2682053532
772	0.2682048879
773	0.2682005933
774	0.2682003277
775	0.2681992649
776	0.2681992649
777	0.2681992649
778	0.2681992649
779	0.268194732
780	0.2681265724
781	0.2681265724
782	0.2681180988
783	0.2681164625
784	0.2681154648
785	0.2680329442
786	0.2679306754
787	0.2679101411
788	0.2679090928
789	0.2679090928
790	0.2676624963
791	0.2676506559
792	0.2676440976
793	0.2676440976
794	0.2676431442
795	0.267638003
796	0.267638003
797	0.267638003
798	0.2676259186
799	0.2676247275
800	0.2676247275
801	0.2676247275
802	0.2676247275
803	0.2675706271
804	0.267405431
805	0.267405431
806	0.266961297
807	0.2669606181
808	0.2669603839
809	0.2668208943
810	0.2668198841
811	0.2668197292
812	0.2667304824
813	0.2667289572
814	0.2664294155
815	0.2664283622
816	0.2664283622
817	0.2664283622
818	0.2664283622
819	0.2664283622
820	0.2664283622
821	0.2664283622
822	0.2664283622
823	0.2664283622
824	0.2663016256
825	0.2663016256
826	0.2663015261
827	0.2662993049
828	0.2662978933
829	0.2662966778
830	0.2662215578
831	0.2662195392
832	0.2662195392
833	0.2662193534
834	0.2662193534
835	0.2662193534
836	0.2662177507
837	0.2662030821
838	0.2661358417
839	0.2661358417
840	0.266120709
841	0.2661206977
842	0.2661205899
843	0.2661205899
844	0.2661205899
845	0.266120283
846	0.2660990504
847	0.2660990504
848	0.2660990452
849	0.2660890988
850	0.2660890988
851	0.2660890988
852	0.2660647445
853	0.2660647445
854	0.2660086266
855	0.2660023318
856	0.2660023318
857	0.2660023318
858	0.2660013505
859	0.2659650185
860	0.2659650185
861	0.2659358162
862	0.2659358162
863	0.2659358135
864	0.2659358135
865	0.2659358135
866	0.2659081424
867	0.2659081424
868	0.265907662
869	0.2658916178
870	0.2658908606
871	0.2658908606
872	0.2658908606
873	0.2658908606
874	0.2658899956
875	0.2657910255
876	0.2657910255
877	0.2657910255
878	0.2657848324
879	0.2657798699
880	0.2657789293
881	0.265778493
882	0.2657734212
883	0.2657734212
884	0.265771806
885	0.2657413351
886	0.2657413351
887	0.2655789276
888	0.2655610257
889	0.2655610257
890	0.265556154
891	0.2655012202
892	0.2655005414
893	0.2655005414
894	0.2653439493
895	0.2653359162
896	0.2653320238
897	0.2653320238
898	0.2651109787
899	0.2651068695
900	0.2651068695
901	0.2651068695
902	0.2651022336
903	0.2651022336
904	0.2651014659
905	0.2650684402
906	0.265068106
907	0.265068106
908	0.2648903087
909	0.2648596832
910	0.2648596832
911	0.2648592275
912	0.2640640269
913	0.2640631836
914	0.264062914
915	0.264062914
916	0.264062914
917	0.2640555396
918	0.2640555396
919	0.2640555396
920	0.2640555396
921	0.2640543618
922	0.2640543618
923	0.2640543618
924	0.2640375614
925	0.2640375614
926	0.2636427188
927	0.2636348162
928	0.2636347981
929	0.2636347981
930	0.2636316044
931	0.2636218896
932	0.2636155871
933	0.2636155871
934	0.2636155871
935	0.2636155871
936	0.2636131873
937	0.2636131873
938	0.2636131873
939	0.2636131873
940	0.2636131873
941	0.2635438261
942	0.2635438261
943	0.2634941072
944	0.2634818156
945	0.2634818156
946	0.2634818156
947	0.2634818156
948	0.2634813779
949	0.2634813779
950	0.2634776601
951	0.2634776601
952	0.2634776601
953	0.2634775471
954	0.2634775471
955	0.26347751
956	0.263476129
957	0.263476129
958	0.2634353821
959	0.2634353228
960	0.2634299666
961	0.2634278113
962	0.2634278113
963	0.2634278113
964	0.2633421306
965	0.263325129
966	0.2632558964
967	0.2632558893
968	0.2632558893
969	0.2632546157
970	0.2632546157
971	0.2632428848
972	0.2632413629
973	0.2632413194
974	0.2632413194
975	0.2632413194
976	0.2632298397
977	0.2632287973
978	0.2632287973
979	0.263228458
980	0.2632276784
981	0.2632276784
982	0.2632275992
983	0.2631859033
984	0.2631755706
985	0.2631716873
986	0.2631711726
987	0.2631711726
988	0.2631711665
989	0.2631711665
990	0.2631711103
991	0.2631711103
992	0.2631711103
993	0.2628805271
994	0.262880311
995	0.2628080377
996	0.2628075745
997	0.2628075745
998	0.2628075745
999	0.2628068902
